,latitude,longitude,number,name,address,groupe
0,-27.482279,153.028723,122,122 - LOWER RIVER TCE / ELLIS ST,Lower River Tce / Ellis St,0
93,-27.474755,153.016687,118,118 - MELBOURNE ST / MERIVALE ST,Melbourne St / Merivale St,0
92,-27.471025,153.034306,92,92 - THORNTON ST FERRY TERMINAL / MAIN ST,Thornton St Ferry Terminal / Main St,0
90,-27.467963,153.0231,30,30 - ROMA ST / ANN ST,Roma St / Ann St,0
87,-27.479876,153.021076,114,114 - COLCHESTER ST / ERNEST ST,Colchester St / Ernest St,0
86,-27.471332,153.022991,25,25 - REDDACLIFF PL / QUEEN ST,Reddacliff Pl / Queen St,0
85,-27.491284,153.027138,124,124 - ANNERLEY ROAD / GROVE ST,Annerley Rd / Grove St,0
83,-27.469902,153.022603,28,28 - GEORGE ST / ADELAIDE ST,George St / Adelaide St,0
81,-27.471315,153.026627,123,123 - CHARLOTTE ST / ALBERT ST,Charlotte St / Albert St,0
79,-27.466369,153.029597,2,2 - QUEEN ST / EAGLE ST,Queen St / Eagle St,0
78,-27.474722,153.018694,96,96 - GREY ST / MELBOURNE ST,Grey St / Melbourne St,0
76,-27.469296,153.035533,90,90 - MAIN ST / ROTHERHAM ST (MAHONEY PARK),Main St / Rotherham St (Mahoney Park),0
147,-27.46812,153.02682,1,1 - EDWARD ST / QUEEN ST,Edward St / Queen St,0
70,-27.468963,153.02461,12,12 - ALBERT ST MALL / ADELAIDE ST,Albert St Mall / Adelaide St,0
67,-27.494959,153.02802,125,125 - ANNERLEY RD / BOGGO RD,Annerley Rd / Boggo Rd,0
64,-27.474992,153.037647,130,130 - O'CONNELL ST / LAMBERT ST,O'Connell St / Lambert St,0
62,-27.47019,153.025852,15,15 - ALBERT STREET MALL / ELIZABETH STREET,Albert St Mall / Elizabeth St,0
59,-27.471297,153.02257,26,26 - NORTH QUAY / REDDACLIFF PLACE,North Quay /Reddacliff Place,0
57,-27.469075,153.021808,29,29 - GEORGE STREET / ANN STREET,George St / Ann St,0
56,-27.475922,153.0288,21,21 - BOTANICAL GARDENS / QUT,Botanical Gardens / QUT,0
99,-27.472598,153.028383,17,17 - MARGARET ST / ALBERT ST,Margaret St / Albert St,0
52,-27.464986,153.027679,40,40 - ANN STREET / CREEK STREET,Ann St / Creek St,0
101,-27.467556,153.029202,3,3 - CREEK ST / ELIZABETH ST,Creek St / Elizabeth St,0
104,-27.466032,153.01476,37,37 - UPPER ROMA ST / EAGLE TCE,Upper Roma St / Eagle Tce,0
